id,date,title,playcount
21561990,Sunday Live Broadcast - 03/29/2020 (13),03/29/2020, 10:27:59,68
21567174,Sunday Live Broadcast - 04/05/2020 (13),04/05/2020, 10:28:44,33
21571707,Good Friday Service Broadcast - 04/10/2020 (4),04/10/2020, 18:56:47,48
21573060,Sunday Live Broadcast - 04/12/2020 (4),04/12/2020, 10:26:18,52
21577088,Sunday Live Broadcast - 04/19/2020 (5),04/19/2020, 10:25:58,51
21577132,Sunday Live Broadcast - 04/19/2020 (6),04/19/2020, 11:18:28,57
21581183,Sunday Live Broadcast - 04/26/2020 (7),04/26/2020, 10:26:50,38
21583267,Wednesday Night Live Broadcast - 04/29/2020 (8),04/29/2020, 18:56:40,22
21583680,Thursday Night Live Broadcast - 04/30/2020 (9),04/30/2020, 18:55:40,31
21584911,Sunday  Live Broadcast - 05/03/2020 (10),05/03/2020, 10:25:55,27
21587085,Wednesday Night Live Broadcast - 05/06/2020 (11),05/06/2020, 18:55:26,17
21587553,Thursday Night Live Broadcast - 05/07/2020 (12),05/07/2020, 18:55:44,21
21588981,Sunday Live Broadcast - 05/10/2020 (13),05/10/2020, 10:23:36,49
21591289,Wednesday Night Live Broadcast  - 05/13/2020 (14),05/13/2020, 18:55:31,27
21591743,Thursday Night Live Broadcast  - 05/14/2020 (15),05/14/2020, 18:55:10,45
21593031,Sunday Live Broadcast - 05/17/2020 (16),05/17/2020, 10:30:17,35
21596006,Wednesday Night Live Broadcast - 05/20/2020 (17),05/20/2020, 18:53:17,23
21596436,Thursday Night Live Broadcast - 05/21/2020 (18),05/21/2020, 18:52:19,32
21597568,Sunday Live Broadcast  - 05/24/2020 (19),05/24/2020, 10:41:57,28
21599628,Wednesday Night Live Broadcast  - 05/27/2020 (20),05/27/2020, 18:52:28,15
21601026,Sunday Live Broadcast  - 05/31/2020 (21),05/31/2020, 10:25:49,26
21603480,Thursday Night Live Broadcast  - 06/04/2020 (22),06/04/2020, 18:59:41,18
21604483,Sunday Live Broadcast - 06/07/2020 (23),06/07/2020, 10:25:13,30
21606729,Wednesday Night Live Broadcast  - 06/10/2020 (24),06/10/2020, 18:55:44,26
21607296,Thursday Night Live Broadcast  - 06/11/2020 (25),06/11/2020, 18:55:36,24
21608307,Sunday Live Broadcast - 06/14/2020 (26),06/14/2020, 10:26:17,37
21611916,Sunday Live Broadcast - 06/21/2020 (27),06/21/2020, 10:24:16,23
21615390,Wednesday Night Live Broadcast  - 06/24/2020 (28),06/24/2020, 18:56:00,18
21616082,Thursday Night Live Broadcast  - 06/26/2020 (29),06/26/2020, 18:55:30,22
21617010,Sunday Live Broadcast  - 06/28/2020 (30),06/28/2020, 10:25:15,23
21619007,Wednesday Night Live Broadcast - 07/01/2020 (30),07/01/2020, 18:54:35,36
21624335,Sunday  Live Broadcast - 07/12/2020 (29),07/12/2020, 10:25:06,64
